distance,azimuth,elevation
260.0194,22.6249,0.0082
260.8351,22.5451,0.0050
261.8844,22.4570,0.0099
262.7937,22.3756,-0.0170
263.7023,22.2688,0.0049
264.6817,22.2077,0.0038
265.5667,22.1109,0.0023
266.4874,22.0342,-0.0113
267.4118,21.9461,-0.0082
268.3328,21.8683,-0.0038
269.4334,21.8019,-0.0058
270.2611,21.7403,0.0066
271.2394,21.6352,-0.0006
272.0555,21.5681,0.0086
273.0055,21.4815,-0.0038
274.0556,21.3929,0.0050
275.0065,21.3228,-0.0017
275.9401,21.2417,0.0114
276.8505,21.1858,-0.0142
277.7398,21.0907,0.0006
278.7333,21.0122,0.0063
279.7129,20.9260,-0.0040
280.6991,20.8783,0.0057
281.5409,20.7937,-0.0012
282.4333,20.7332,-0.0223
283.4214,20.6655,0.0023
284.4381,20.5873,-0.0069
285.3752,20.5132,0.0080
286.3121,20.4656,-0.0061
287.2210,20.3795,-0.0036
288.1678,20.3104,-0.0059
289.1774,20.2378,0.0082
290.1325,20.1633,0.0064
291.0384,20.1111,-0.0104
291.9712,20.0369,-0.0087
292.8462,19.9510,0.0070
293.8790,19.9148,0.0057
294.8166,19.8377,-0.0105
295.7483,19.7508,0.0025
296.7538,19.7127,0.0049
297.5860,19.6409,0.0043
298.5197,19.5578,-0.0133
299.5486,19.4929,-0.0037
300.5323,19.4208,-0.0123
301.5219,19.3668,0.0025
302.4009,19.3064,0.0043
303.4264,19.2562,0.0090
304.2910,19.1821,0.0084
305.3612,19.1205,-0.0107
306.2265,19.0509,-0.0009
307.1404,18.9903,-0.0044
308.1218,18.9340,0.0071
309.1966,18.8638,0.0020
309.9951,18.8189,0.0108
311.0953,18.7646,-0.0057
311.9319,18.6967,0.0215
312.8944,18.6428,-0.0114
313.8282,18.5862,-0.0017
314.8160,18.5284,0.0054
315.7955,18.4338,0.0040
316.7635,18.4030,-0.0065
317.6899,18.3408,-0.0025
318.6984,18.2828,-0.0238
319.6612,18.2447,-0.0068
320.6420,18.1825,0.0285
321.4413,18.1175,0.0050
322.4743,18.0807,0.0074
323.4180,17.9982,-0.0045
324.4160,17.9424,-0.0010
325.3559,17.9021,-0.0079
326.3141,17.8433,-0.0051
327.3023,17.7652,-0.0142
328.3243,17.7304,0.0134
329.1905,17.6798,-0.0140
330.2466,17.6290,0.0028
331.0328,17.5655,0.0039
332.0959,17.5214,0.0009
333.0971,17.4729,-0.0099
334.0399,17.4184,-0.0176
335.0705,17.3738,0.0010
335.9999,17.3153,-0.0014
336.9508,17.2578,0.0115
338.0006,17.2217,0.0023
338.8142,17.1636,-0.0050
339.8400,17.1143,-0.0026
340.7961,17.0542,0.0090
341.7706,17.0099,0.0137
342.6952,16.9576,0.0137
343.7465,16.9196,-0.0024
344.6281,16.8569,0.0033
345.6256,16.8091,0.0055
346.5377,16.7606,-0.0046
347.5166,16.7234,0.0106
348.4949,16.6705,0.0108
349.3603,16.6402,-0.0019
350.5072,16.5803,-0.0085
351.4941,16.5280,-0.0006
352.3551,16.4898,-0.0186
353.2608,16.4394,0.0061
354.2759,16.3931,-0.0016
355.3035,16.3493,0.0051
356.2268,16.2943,-0.0108
357.2446,16.2612,0.0025
358.1383,16.2002,-0.0053
359.2182,16.1759,0.0052
360.1598,16.1083,-0.0160
360.9941,16.0747,0.0131
362.0444,16.0340,0.0087
363.0878,15.9923,0.0049
364.0117,15.9447,-0.0012
0.0985,62.5436,1.8688
1.0303,3.7897,4.7841
1.9739,-0.1342,-1.5595
2.9823,0.3063,0.1882
4.0326,-1.3785,-0.5031
5.0341,-0.9086,-0.4733
5.9742,-0.3489,-0.0776
6.9974,0.3713,0.3047
8.0397,0.1565,-0.3944
9.0383,0.0491,-0.0808
10.0593,0.2028,-0.0644
10.9764,-0.2313,-0.3223
12.0859,0.0206,-0.1079
13.1036,-0.2866,-0.2453
13.9959,-0.1044,0.0615
15.1124,0.2259,0.1860
16.0838,0.0486,0.0668
17.0708,-0.1013,-0.1408
18.0678,-0.2823,0.0812
19.0846,0.0662,0.0810
20.0808,-0.0389,0.2614
21.0854,0.0741,-0.1058
22.1031,0.2241,0.1908
23.1529,0.0630,-0.0356
24.1799,0.0523,0.1280
25.0689,-0.0344,-0.0557
26.1454,0.1091,0.1761
27.0973,0.0120,0.1188
28.2116,0.0170,-0.0491
29.1605,0.0579,-0.0964
30.1640,0.1523,-0.0683
31.1817,-0.0176,-0.0939
32.1487,-0.0009,-0.0311
33.1148,-0.0539,0.0836
34.1692,0.2012,0.0343
35.1681,-0.1207,0.0263
36.1994,0.0763,0.0354
37.0297,0.0089,-0.1339
38.1871,0.0199,0.0009
39.2274,-0.0247,0.0494
40.2005,-0.1467,0.0684
41.1592,0.0801,-0.0682
42.1302,-0.0383,0.0475
43.1673,0.1488,0.0779
44.2627,-0.0017,-0.0098
45.2766,0.0398,0.1130
46.1340,0.0354,0.0123
47.2209,-0.1145,0.0420
48.2525,0.2199,-0.0113
49.1442,0.0585,-0.0296
50.2044,0.2047,0.0317
