distance,azimuth,elevation
0.0214,-90.0000,0.0000
0.1028,7.0598,0.0000
0.2042,-2.2013,0.0000
0.3069,-4.1552,0.0000
0.4085,-2.1511,0.0000
0.5102,0.3879,0.0000
0.6127,-2.1107,0.0000
0.7146,-1.6292,0.0000
0.8166,-1.4197,0.0000
0.9185,1.0844,0.0000
1.0206,1.1124,0.0000
1.1225,0.3506,0.0000
1.2246,-0.7306,0.0000
1.3266,0.6019,0.0000
1.4287,-0.8105,0.0000
1.5306,0.1776,0.0000
1.6327,-0.3264,0.0000
1.7347,-0.1689,0.0000
1.8368,-0.6398,0.0000
1.9388,0.1632,0.0000
2.0410,0.6715,0.0000
2.1430,-0.5862,0.0000
2.2450,-0.5025,0.0000
2.3470,-0.3444,0.0000
2.4491,0.4695,0.0000
2.5510,0.1852,0.0000
2.6531,0.4476,0.0000
2.7551,-0.2637,0.0000
2.8572,-0.1454,0.0000
2.9593,0.3950,0.0000
3.0612,0.1984,0.0000
3.1633,0.3914,0.0000
3.2654,0.3233,0.0000
3.3674,-0.1427,0.0000
3.4694,0.1779,0.0000
3.5714,0.0706,0.0000
3.6735,-0.0386,0.0000
3.7755,0.0641,0.0000
3.8776,0.2442,0.0000
3.9796,-0.2622,0.0000
4.0816,-0.1184,0.0000
4.1837,0.1299,0.0000
4.2858,0.3197,0.0000
4.3878,0.2460,0.0000
4.4898,-0.1060,0.0000
4.5919,-0.2986,0.0000
4.6939,-0.1090,0.0000
4.7960,-0.2245,0.0000
4.8980,0.2216,0.0000
5.0000,-0.1222,0.0000
0.0511,90.0000,86.0758
0.1145,-5.6824,26.4523
0.2104,-1.2255,14.0332
0.3107,2.8385,9.4509
0.4120,3.1980,7.1140
0.5131,2.0447,5.7070
0.6147,-2.0095,4.7607
0.7161,0.1112,4.0856
0.8179,0.2770,3.5763
0.9199,-0.9353,3.1794
1.0217,0.6084,2.8622
1.1237,0.5862,2.6024
1.2257,-0.8152,2.3857
1.3276,0.6766,2.2024
1.4295,-0.0800,2.0454
1.5317,0.9110,1.9089
1.6335,0.0245,1.7899
1.7355,-0.6221,1.6846
1.8375,0.1765,1.5911
1.9395,-0.4925,1.5074
2.0415,-0.1228,1.4321
2.1436,-0.5690,1.3639
2.2455,-0.3739,1.3019
2.3476,0.5364,1.2453
2.4495,0.2617,1.1935
2.5516,0.3063,1.1457
2.6536,0.0982,1.1017
2.7556,-0.3133,1.0609
2.8576,-0.0146,1.0230
2.9596,-0.0528,0.9878
3.0617,-0.2453,0.9548
3.1637,0.0041,0.9240
3.2657,0.2914,0.8952
3.3678,0.1935,0.8680
3.4698,-0.1374,0.8425
3.5718,0.0360,0.8185
3.6739,0.2369,0.7957
3.7759,0.0453,0.7742
3.8779,-0.1627,0.7538
3.9799,0.0994,0.7345
4.0820,0.2394,0.7162
4.1841,0.3238,0.6987
4.2860,0.1437,0.6821
4.3881,-0.2384,0.6662
4.4901,-0.2606,0.6511
4.5921,0.0587,0.6366
4.6942,0.2262,0.6228
4.7962,-0.1578,0.6095
4.8982,-0.1139,0.5968
5.0003,0.0954,0.5846
0.1049,90.0000,76.6837
0.1445,3.7459,44.9387
0.2283,-1.7136,26.5548
0.3235,-4.3014,18.3865
0.4214,-3.4620,14.0116
0.5207,2.1733,11.3020
0.6207,-0.1377,9.4623
0.7218,-1.6164,8.1269
0.8227,0.1852,7.1250
0.9240,0.1959,6.3402
1.0257,1.0776,5.7096
1.1273,1.2372,5.1932
1.2289,-1.0007,4.7629
1.3305,0.5597,4.3985
1.4322,-0.2475,4.0856
1.5340,-0.1679,3.8141
1.6358,0.2085,3.5763
1.7378,-0.6485,3.3662
1.8396,-0.2405,3.1798
1.9415,-0.5028,3.0127
2.0434,-0.1927,2.8624
2.1454,-0.4653,2.7262
2.2472,-0.2636,2.6025
2.3492,-0.1771,2.4895
2.4511,-0.2864,2.3859
2.5531,-0.0059,2.2906
2.6551,-0.3445,2.2026
2.7571,-0.4766,2.1210
2.8590,-0.2676,2.0454
2.9610,-0.4567,1.9749
3.0629,0.0672,1.9092
3.1650,0.4169,1.8476
3.2669,-0.2318,1.7899
3.3689,0.2322,1.7357
3.4709,0.0417,1.6847
3.5730,0.3722,1.6365
3.6749,0.0526,1.5911
3.7769,0.0780,1.5482
3.8789,-0.2389,1.5074
3.9809,-0.2451,1.4688
4.0829,-0.1641,1.4321
4.1850,-0.2613,1.3972
