distance,azimuth,elevation
260.0021,22.6185,-0.0010
259.9204,22.5772,0.0019
260.0702,22.6607,-0.0004
259.9942,22.6215,-0.0454
260.0027,22.6209,0.0455
260.9280,22.5340,0.0017
260.8432,22.4933,0.0004
261.0003,22.5742,0.0006
260.9238,22.5348,-0.0443
260.9287,22.5342,0.0446
261.8686,22.4517,-0.0011
261.7817,22.4090,0.0018
261.9381,22.4903,0.0015
261.8705,22.4481,-0.0458
261.8672,22.4501,0.0439
262.7917,22.3653,-0.0010
262.7202,22.3262,0.0000
262.8777,22.4037,-0.0001
262.8039,22.3668,-0.0431
262.8012,22.3642,0.0457
263.7306,22.2842,0.0004
263.6610,22.2415,-0.0021
263.8146,22.3225,-0.0021
263.7348,22.2805,-0.0424
263.7279,22.2811,0.0432
264.6522,22.1986,0.0002
264.5951,22.1585,0.0019
264.7399,22.2391,-0.0013
264.6703,22.1978,-0.0433
264.6646,22.2019,0.0434
265.6023,22.1185,0.0016
265.5251,22.0783,-0.0011
265.6778,22.1571,0.0021
265.6043,22.1173,-0.0416
265.5976,22.1181,0.0414
266.5326,22.0371,0.0015
266.4509,21.9950,-0.0009
266.6071,22.0752,-0.0010
266.5417,22.0357,-0.0410
266.5363,22.0375,0.0448
267.4777,21.9530,0.0014
267.4042,21.9165,-0.0011
267.5523,21.9950,-0.0000
267.4731,21.9526,-0.0436
267.4763,21.9560,0.0433
268.3998,21.8755,0.0006
268.3326,21.8325,0.0002
268.4779,21.9124,0.0001
268.3991,21.8736,-0.0419
268.4043,21.8754,0.0425
269.3363,21.7936,0.0009
269.2694,21.7541,-0.0002
269.4159,21.8346,0.0004
269.3446,21.7927,-0.0426
269.3547,21.7947,0.0446
270.2742,21.7154,-0.0018
270.1963,21.6744,-0.0013
270.3446,21.7538,-0.0011
270.2799,21.7150,-0.0425
270.2765,21.7156,0.0425
271.2280,21.6356,-0.0012
271.1390,21.5974,-0.0010
271.2865,21.6763,-0.0021
271.2164,21.6379,-0.0408
271.2185,21.6373,0.0418
272.1578,21.5552,-0.0005
272.0743,21.5172,0.0019
272.2349,21.5941,0.0006
272.1466,21.5564,-0.0431
272.1583,21.5586,0.0416
273.0958,21.4777,-0.0016
273.0317,21.4420,-0.0011
273.1700,21.5186,-0.0017
273.1037,21.4791,-0.0428
273.0994,21.4800,0.0429
