distance,azimuth,elevation
456.6815,54.8048,41.0608
268.2207,96.5732,41.3729
100.7635,139.4370,0.0137
443.6568,20.1990,42.5535
358.6776,77.6974,31.1311
271.8857,101.4069,41.3739
152.0656,-179.9558,70.1229
327.9544,3.1417,42.8761
382.6565,17.1387,16.7976
390.4066,56.4099,50.2088
443.4640,24.8226,42.5745
66.2528,65.1546,0.0260
343.4687,64.7667,15.0382
380.8137,20.1338,11.7801
383.3763,37.4171,30.8607
209.7510,58.0889,-0.0093
386.1471,43.8979,41.6729
337.4691,46.2817,30.9371
89.6631,86.6814,-0.0115
351.5605,27.9091,0.0037
300.3617,-179.9851,71.1873
249.4365,89.9878,17.2494
231.4099,116.2114,15.5723
249.7135,0.0001,62.5899
129.3886,89.4075,-0.0289
356.3899,41.2946,31.7568
274.7238,95.1190,43.0545
182.3597,-179.8135,84.6553
331.2638,64.8984,0.1586
449.5874,55.2086,41.8478
127.6911,142.2650,7.9744
340.1819,-0.0132,49.7322
362.7880,115.1042,55.8077
300.8986,88.0861,4.0270
121.0828,62.6990,0.0128
310.3633,75.3999,2.8288
154.1559,87.0204,-0.0074
351.0239,61.9598,14.4312
212.1847,56.6347,0.0149
348.5084,69.0750,22.8686
229.2439,114.9749,15.6662
312.7005,96.7348,73.5997
312.2236,172.9811,73.9077
163.8616,41.0393,-0.0105
358.0278,68.7787,56.9619
243.0191,-0.2731,85.1297
389.1013,28.7072,0.0018
50.3210,40.7344,0.0013
313.1008,63.8479,73.3670
216.1756,16.9424,-0.0136
344.2122,59.9139,0.0025
159.4502,-0.0869,86.8178
445.5092,54.0471,40.1178
224.6674,101.3311,24.7919
318.8860,136.6155,64.4297
352.0722,80.9094,30.3536
431.2559,30.8931,25.4508
392.1522,21.4742,45.8168
174.1589,-0.1405,83.6098
283.5301,11.4512,30.2600
212.6042,24.0889,-0.0141
214.4323,179.9110,87.1484
316.8106,18.9538,13.7779
203.5862,114.9504,-0.0157
441.4616,30.6336,27.2293
389.4863,31.4331,9.9892
336.1076,11.6334,63.1809
288.7364,17.7135,29.2376
295.5458,45.3190,15.7243
340.5423,121.3494,61.7708
362.2562,38.5361,55.9009
383.0379,5.0876,51.0280
396.8646,30.8386,10.6436
82.9026,135.5871,0.0611
171.0184,21.1326,-0.0262
279.2644,59.8696,-0.0172
61.3774,-179.8162,74.6961
317.2648,58.0421,71.0018
363.8361,53.2606,55.5485
408.0211,26.9047,15.8235
366.1611,40.6061,32.9190
107.4892,164.6176,15.0853
196.0807,34.6200,-0.0117
293.8148,46.9461,4.3456
327.2849,90.0015,33.7266
143.1750,-0.0191,5.7153
315.9751,105.8516,71.7179
322.4138,22.3894,-0.0039
426.0390,22.9733,26.8545
59.3017,-179.9026,80.3399
98.1466,58.9621,0.0322
389.3368,28.5996,50.4062
415.0491,30.0011,15.4043
273.1319,6.8328,27.7744
465.6126,23.5808,34.8943
361.6763,68.2134,56.0605
377.1829,39.6834,33.8468
261.1747,116.6046,31.2371
66.0696,179.9914,22.7320
250.6388,32.4063,0.0046
324.2951,18.5624,14.3133
466.3672,28.3985,31.4508
307.3073,81.9683,77.4336
207.7430,90.0001,14.6972
488.0078,26.6926,36.6153
249.7770,14.8619,6.3093
350.0247,89.9862,54.0605
483.5942,23.7407,38.3440
270.6904,179.7374,88.4447
244.7428,147.3679,61.0115
324.9811,89.9379,22.6203
254.4745,104.0828,35.8854
402.6163,60.6091,48.1880
328.6838,40.1470,65.8798
400.7127,90.0037,41.7615
297.8522,38.1080,-0.0151
356.1569,87.1245,32.5071
215.2700,120.9852,25.4309
247.9121,89.9709,32.2091
200.1559,-0.0020,46.9537
245.5274,90.0138,16.8521
304.3888,86.8364,9.2134
212.4396,60.8608,0.0127
335.0936,26.8270,0.0086
354.7605,36.5926,18.9616
359.0843,89.6449,56.6866
306.7959,89.9919,37.5426
201.5639,90.0132,6.8446
355.2137,36.4116,18.4335
323.3491,68.8706,5.9739
243.7159,18.8124,0.0135
119.1944,59.9278,-0.0064
189.4243,178.0024,58.0956
209.4206,11.4267,-0.0181
212.3307,166.1807,60.9735
328.3646,39.9735,18.4788
81.5678,-0.1072,67.1994
250.1139,21.4353,-0.0232
259.8438,89.9932,15.1806
318.9758,85.8387,70.1830
132.2889,170.9671,40.0378
298.9234,-0.0054,73.4276
256.4779,61.6096,0.0104
151.7442,155.7798,43.7385
458.3346,57.2918,38.9331
427.0343,60.7399,36.3535
166.5557,0.0286,42.2468
318.1503,79.3681,16.3511
282.5148,0.0123,68.2003
295.8034,89.9921,37.7624
319.1993,90.0092,31.1642
187.7773,0.0061,15.2909
214.7581,91.6797,21.3230
184.0525,106.3394,0.0154
391.4474,63.0466,50.0331
103.1216,0.0117,64.9281
402.0822,30.9389,14.6745
279.9768,89.9997,25.7571
199.8119,-0.0136,56.6350
317.2632,89.9840,34.5705
447.6466,59.7294,39.1183
374.4175,49.9342,33.9165
307.3413,41.3169,77.4414
315.6998,20.3889,24.6034
139.3253,24.4807,-0.0139
286.4408,20.5496,6.3233
263.0919,-0.0000,55.4707
334.7395,65.8343,10.7165
208.8519,179.9967,63.9927
282.7555,89.9940,10.8702
248.5128,38.3667,-0.0057
165.2709,106.8470,-0.0415
264.5292,73.5095,0.0137
314.0155,80.9716,14.7321
138.2953,24.6373,0.0180
428.5429,59.2080,35.4038
80.6333,0.0029,31.5822
284.3841,179.8693,82.7378
310.3943,43.5665,75.1187
202.1852,98.4464,1.0877
266.3534,21.5222,14.4197
318.6144,89.4756,19.6286
347.8043,61.7300,11.6625
229.0098,129.1943,46.2739
306.3281,12.6272,36.5843
316.3360,6.1950,40.2337
406.5037,30.9881,17.0787
248.9598,15.3488,1.4376
154.3015,124.1615,0.0086
307.9390,55.9232,76.9435
375.7423,21.3532,0.0722
314.8335,42.6167,20.2280
418.5609,56.4452,30.7030
375.9206,83.2720,52.9467
354.6578,53.0231,20.3420
314.1799,72.7124,0.1315
379.7848,27.8569,52.1865
69.3166,179.9091,52.8665
384.4355,32.1782,12.3864
451.9801,59.8251,39.8382
164.5976,58.9662,-0.0324
248.4934,25.5998,0.0068
398.5405,39.0151,37.1308
313.1880,73.4018,1.5573
422.8948,22.4044,26.4801
317.8498,79.8594,16.5475
206.8448,98.5372,12.0418
65.8226,84.9212,0.0321
303.7223,134.0214,61.6997
474.3708,19.4276,39.2368
267.1286,0.0260,51.6186
366.5847,116.1422,54.9381
279.1794,93.9297,44.0841
267.5330,-0.0235,44.2219
360.2488,72.0002,28.8358
50.1357,-179.9504,1.8704
322.1225,10.7749,68.6461
156.5125,-0.0121,59.6556
200.1931,179.9813,80.8972
375.1428,51.1092,31.8816
330.9781,99.3215,65.0317
248.6677,-0.0052,15.3810
411.2682,19.1033,42.0672
148.3570,0.0001,30.7540
218.5237,112.7642,6.9586
453.1334,20.6932,34.3322
361.2371,34.5829,12.6588
338.8226,99.0635,53.2807
320.6430,46.1437,69.3110
232.0003,89.9907,2.8310
406.9352,55.8519,28.8713
155.8817,165.2816,48.4795
